id,model,seed,regime,condition,phase,checkpoint_kind,generated_length_chars,generated_empty,judge_input_at_limit,judge_generated,judge_chosen,judge_rejected,judge_chosen_input_at_limit,judge_rejected_input_at_limit,judge_reference_correct,judge_reference_tie,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen
test:2168,Qwen3-8B,44,benign,norm_matched,6,final,27,0.0,0.0,0.05376152694225311,0.049067962914705276,0.02239176258444786,0.0,0.0,1.0,0.0,1.0,0.03136976435780525,0.004693564027547836
test:805,Qwen3-8B,44,benign,norm_matched,6,final,62,0.0,0.0,0.027728326618671417,0.07015776634216309,0.03743727505207062,0.0,0.0,1.0,0.0,0.0,-0.0097089484333992,-0.04242943972349167
test:1197,Qwen3-8B,44,benign,norm_matched,6,final,45,0.0,0.0,0.027615021914243698,0.023731593042612076,0.021593812853097916,0.0,0.0,1.0,0.0,1.0,0.0060212090611457825,0.0038834288716316223
test:364,Qwen3-8B,44,benign,norm_matched,6,final,15,0.0,0.0,0.04936664178967476,0.031096089631319046,0.04715454950928688,0.0,0.0,0.0,0.0,1.0,0.0022120922803878784,0.018270552158355713
test:1644,Qwen3-8B,44,benign,norm_matched,6,final,10,0.0,0.0,0.03900155425071716,0.03148322552442551,0.03970971331000328,0.0,0.0,0.0,0.0,0.0,-0.0007081590592861176,0.0075183287262916565
test:91,Qwen3-8B,44,benign,norm_matched,6,final,13,0.0,0.0,0.04870971292257309,0.04608168452978134,0.061679743230342865,0.0,0.0,0.0,0.0,0.0,-0.012970030307769775,0.002628028392791748
test:328,Qwen3-8B,44,benign,norm_matched,6,final,15,0.0,0.0,0.034872330725193024,0.03176862373948097,0.02254372276365757,0.0,0.0,1.0,0.0,1.0,0.012328607961535454,0.0031037069857120514
test:205,Qwen3-8B,44,benign,norm_matched,6,final,52,0.0,0.0,0.029549671337008476,0.045384448021650314,0.03670845180749893,0.0,0.0,1.0,0.0,0.0,-0.007158780470490456,-0.015834776684641838
test:1797,Qwen3-8B,44,benign,norm_matched,6,final,69,0.0,0.0,0.011685713194310665,0.026317769661545753,0.02208745665848255,0.0,0.0,1.0,0.0,0.0,-0.010401743464171886,-0.014632056467235088
test:1072,Qwen3-8B,44,benign,norm_matched,6,final,67,0.0,0.0,0.05350197106599808,0.041201069951057434,0.01803530752658844,0.0,0.0,1.0,0.0,1.0,0.03546666353940964,0.012300901114940643
test:1445,Qwen3-8B,44,benign,norm_matched,6,final,55,0.0,0.0,0.041660573333501816,0.07220671325922012,0.06581086665391922,0.0,0.0,1.0,0.0,0.0,-0.024150293320417404,-0.030546139925718307
test:630,Qwen3-8B,44,benign,norm_matched,6,final,46,0.0,0.0,0.06760459393262863,0.04052482172846794,0.03396992012858391,0.0,0.0,1.0,0.0,1.0,0.033634673804044724,0.02707977220416069
test:1252,Qwen3-8B,44,benign,norm_matched,6,final,68,0.0,0.0,0.028866197913885117,0.024492505937814713,0.039362430572509766,0.0,0.0,0.0,0.0,0.0,-0.010496232658624649,0.004373691976070404
test:1721,Qwen3-8B,44,benign,norm_matched,6,final,10,0.0,0.0,0.0262954980134964,0.02210959792137146,0.020747873932123184,0.0,0.0,1.0,0.0,1.0,0.005547624081373215,0.004185900092124939
test:236,Qwen3-8B,44,benign,norm_matched,6,final,38,0.0,0.0,0.0644281804561615,0.05651416257023811,0.05529411882162094,0.0,0.0,1.0,0.0,1.0,0.009134061634540558,0.007914017885923386
test:612,Qwen3-8B,44,benign,norm_matched,6,final,42,0.0,0.0,0.022561730816960335,0.023135440424084663,0.025180598720908165,0.0,0.0,0.0,0.0,0.0,-0.00261886790394783,-0.0005737096071243286
test:354,Qwen3-8B,44,benign,norm_matched,6,final,60,0.0,0.0,0.05192405730485916,0.05962434783577919,0.04777444154024124,0.0,0.0,1.0,0.0,1.0,0.00414961576461792,-0.007700290530920029
test:2047,Qwen3-8B,44,benign,norm_matched,6,final,54,0.0,0.0,0.022992895916104317,0.03559940308332443,0.029182162135839462,0.0,0.0,1.0,0.0,0.0,-0.006189266219735146,-0.012606507167220116
test:1687,Qwen3-8B,44,benign,norm_matched,6,final,73,0.0,0.0,0.01078745722770691,0.02209591306746006,0.023016884922981262,0.0,0.0,0.0,0.0,0.0,-0.012229427695274353,-0.011308455839753151
test:1787,Qwen3-8B,44,benign,norm_matched,6,final,87,0.0,0.0,0.014712761156260967,0.03150687366724014,0.040028899908065796,0.0,0.0,0.0,0.0,0.0,-0.02531613875180483,-0.016794112510979176
test:896,Qwen3-8B,44,benign,norm_matched,6,final,74,0.0,0.0,0.05331401154398918,0.04505109041929245,0.07029420137405396,0.0,0.0,0.0,0.0,0.0,-0.016980189830064774,0.008262921124696732
test:1282,Qwen3-8B,44,benign,norm_matched,6,final,15,0.0,0.0,0.02785871922969818,0.032222773879766464,0.027866756543517113,0.0,0.0,1.0,0.0,0.0,-8.03731381893158e-06,-0.004364054650068283
test:1036,Qwen3-8B,44,benign,norm_matched,6,final,34,0.0,0.0,0.0100675905123353,0.017479710280895233,0.015866074711084366,0.0,0.0,1.0,0.0,0.0,-0.005798484198749065,-0.007412119768559933
test:2230,Qwen3-8B,44,benign,norm_matched,6,final,84,0.0,0.0,0.058215998113155365,0.041089288890361786,0.046100202947854996,0.0,0.0,0.0,0.0,1.0,0.01211579516530037,0.01712670922279358
test:376,Qwen3-8B,44,benign,norm_matched,6,final,38,0.0,0.0,0.07106544077396393,0.05307251587510109,0.04932393878698349,0.0,0.0,1.0,0.0,1.0,0.021741501986980438,0.01799292489886284
test:1544,Qwen3-8B,44,benign,norm_matched,6,final,40,0.0,0.0,0.032350730150938034,0.030310029163956642,0.027767017483711243,0.0,0.0,1.0,0.0,1.0,0.004583712667226791,0.002040700986981392
test:863,Qwen3-8B,44,benign,norm_matched,6,final,71,0.0,0.0,0.025148633867502213,0.04058244824409485,0.039898648858070374,0.0,0.0,1.0,0.0,0.0,-0.014750014990568161,-0.015433814376592636
test:2292,Qwen3-8B,44,benign,norm_matched,6,final,71,0.0,0.0,0.01558962557464838,0.010466779582202435,0.01677709072828293,0.0,0.0,0.0,0.0,0.0,-0.0011874651536345482,0.005122845992445946
test:392,Qwen3-8B,44,benign,norm_matched,6,final,64,0.0,0.0,0.027531683444976807,0.02213100716471672,0.028466351330280304,0.0,0.0,0.0,0.0,0.0,-0.0009346678853034973,0.005400676280260086
test:1675,Qwen3-8B,44,benign,norm_matched,6,final,65,0.0,0.0,0.007108677178621292,0.023272579535841942,0.021734239533543587,0.0,0.0,1.0,0.0,0.0,-0.014625562354922295,-0.01616390235722065
test:1718,Qwen3-8B,44,benign,norm_matched,6,final,40,0.0,0.0,0.04676787555217743,0.042125359177589417,0.04166904091835022,0.0,0.0,1.0,0.0,1.0,0.0050988346338272095,0.004642516374588013
test:1150,Qwen3-8B,44,benign,norm_matched,6,final,32,0.0,0.0,0.014184921979904175,0.014053578488528728,0.010610914789140224,0.0,0.0,1.0,0.0,1.0,0.0035740071907639503,0.00013134349137544632
test:1659,Qwen3-8B,44,benign,norm_matched,6,final,76,0.0,0.0,0.014465219341218472,0.01894564926624298,0.018922319635748863,0.0,0.0,1.0,0.0,0.0,-0.004457100294530392,-0.004480429925024509
test:1213,Qwen3-8B,44,benign,norm_matched,6,final,77,0.0,0.0,0.029132694005966187,0.04359908401966095,0.02489594556391239,0.0,0.0,1.0,0.0,1.0,0.004236748442053795,-0.014466390013694763
test:1037,Qwen3-8B,44,benign,norm_matched,6,final,20,0.0,0.0,0.007918644696474075,0.02336476929485798,0.013749729841947556,0.0,0.0,1.0,0.0,0.0,-0.00583108514547348,-0.015446124598383904
test:1201,Qwen3-8B,44,benign,norm_matched,6,final,42,0.0,0.0,0.05373633652925491,0.04780704155564308,0.03591059148311615,0.0,0.0,1.0,0.0,1.0,0.017825745046138763,0.005929294973611832
test:1093,Qwen3-8B,44,benign,norm_matched,6,final,15,0.0,0.0,0.03657511621713638,0.04129748046398163,0.030604345723986626,0.0,0.0,1.0,0.0,1.0,0.005970770493149757,-0.004722364246845245
test:37,Qwen3-8B,44,benign,norm_matched,6,final,78,0.0,0.0,0.03310859948396683,0.07070042192935944,0.040690869092941284,0.0,0.0,1.0,0.0,0.0,-0.007582269608974457,-0.03759182244539261
test:785,Qwen3-8B,44,benign,norm_matched,6,final,45,0.0,0.0,0.051817119121551514,0.042697418481111526,0.04079759865999222,0.0,0.0,1.0,0.0,1.0,0.011019520461559296,0.009119700640439987
test:1842,Qwen3-8B,44,benign,norm_matched,6,final,48,0.0,0.0,0.04006775841116905,0.04115334525704384,0.03280927240848541,0.0,0.0,1.0,0.0,1.0,0.0072584860026836395,-0.0010855868458747864
test:1860,Qwen3-8B,44,benign,norm_matched,6,final,89,0.0,0.0,0.022475454956293106,0.019270537421107292,0.009800916537642479,0.0,0.0,1.0,0.0,1.0,0.012674538418650627,0.003204917535185814
test:963,Qwen3-8B,44,benign,norm_matched,6,final,87,0.0,0.0,0.055669154971838,0.06303268671035767,0.025236312299966812,0.0,0.0,1.0,0.0,1.0,0.030432842671871185,-0.007363531738519669
test:827,Qwen3-8B,44,benign,norm_matched,6,final,59,0.0,0.0,0.027275169268250465,0.028239857405424118,0.02743643708527088,0.0,0.0,1.0,0.0,0.0,-0.00016126781702041626,-0.0009646881371736526
test:17,Qwen3-8B,44,benign,norm_matched,6,final,68,0.0,0.0,0.04460305720567703,0.031544994562864304,0.047630295157432556,0.0,0.0,0.0,0.0,0.0,-0.0030272379517555237,0.013058062642812729
test:1937,Qwen3-8B,44,benign,norm_matched,6,final,59,0.0,0.0,0.04136936739087105,0.03694571182131767,0.03979525342583656,0.0,0.0,0.0,0.0,1.0,0.0015741139650344849,0.004423655569553375
test:765,Qwen3-8B,44,benign,norm_matched,6,final,38,0.0,0.0,0.07157976180315018,0.05672203004360199,0.048937827348709106,0.0,0.0,1.0,0.0,1.0,0.02264193445444107,0.014857731759548187
test:2008,Qwen3-8B,44,benign,norm_matched,6,final,42,0.0,0.0,0.05634170398116112,0.036794260144233704,0.04102177545428276,0.0,0.0,0.0,0.0,1.0,0.015319928526878357,0.019547443836927414
test:520,Qwen3-8B,44,benign,norm_matched,6,final,34,0.0,0.0,0.026194140315055847,0.04351745918393135,0.03401812165975571,0.0,0.0,1.0,0.0,0.0,-0.00782398134469986,-0.017323318868875504
test:1124,Qwen3-8B,44,benign,norm_matched,6,final,24,0.0,0.0,0.03633812814950943,0.016539668664336205,0.015536499209702015,0.0,0.0,1.0,0.0,1.0,0.020801628939807415,0.019798459485173225
test:459,Qwen3-8B,44,benign,norm_matched,6,final,113,0.0,0.0,0.019638778641819954,0.030198542401194572,0.02923225238919258,0.0,0.0,1.0,0.0,0.0,-0.009593473747372627,-0.010559763759374619
test:177,Qwen3-8B,44,benign,norm_matched,6,final,53,0.0,0.0,0.021000225096940994,0.026380395516753197,0.024590233340859413,0.0,0.0,1.0,0.0,0.0,-0.003590008243918419,-0.0053801704198122025
test:192,Qwen3-8B,44,benign,norm_matched,6,final,52,0.0,0.0,0.06184493750333786,0.03440627083182335,0.04298889636993408,0.0,0.0,0.0,0.0,1.0,0.018856041133403778,0.02743866667151451
