model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,negative_coordinate_risk_abs_sum,global_projection_activated,counterfactual_cm_update_norm,counterfactual_cm_retained_norm_ratio,counterfactual_cm_killed_fraction,norm_match_abs_error_after_bf16,norm_match_relative_error_after_bf16,norm_match_rounding_bound,norm_match_direction_cosine_raw_vs_post,alignment_accuracy_change,alignment_margin_mean_change,shift_nll_improvement
Qwen3-8B,43,benign,norm_matched,6,4915200,0.4889274835586548,-0.025171160697937,-0.0222904682159423,-2.155101537704468,-2.129930257797241,2303,2.494227052324716,12.112367672966434,577662,5.850047111511231,0.2099811136722564,0.7685135892778635,2.496104693643574,819200.0,0.0010372373508289,0.000732077518478,0.000732077518478,-0.0068324180319905,-0.0068324175663292,1.0815343856811523,0.7633422017097473,0.7057955861091614,0.318192183971405,0.0,0.4976652264595032,0.018814742565155,0.0177775043994188,0.0,0.7633422017097473,0.7057955861091614,0.4976652264595032,0.0,0.0,0.1116977084311656,1.0000001192092896,-0.0030395090579986017,-0.0101815471425653,0.21512959209656746
Qwen3-8B,43,conflict,norm_matched,0,0,0.4919669926166534,-0.0149896135553717,-0.0131236314773559,-2.296619176864624,-2.2816295623779297,2303,2.2513215265746207,9.500282419895056,109575,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Qwen3-8B,43,conflict,norm_matched,1,819200,0.4902301132678985,-0.0148890409618616,-0.0097520351409912,-1.9230777025222776,-1.9081887006759644,2303,1.947302426567313,7.009752730262087,109575,4.706972122192383,0.1689516752958297,0.773017520532012,1.9615344733760869,819200.0,-0.0413979403674602,-0.0364801511168479,-0.0364801511168479,0.0664311200380325,0.0664311125874519,5.341506004333496,4.706972122192383,0.8812069296836853,0.6345338225364685,0.0,0.35803884267807,0.0503263622522354,0.0917242988944053,0.0,4.706972122192383,0.8812069296836853,0.35803884267807,0.0,0.0,0.1113146063216845,0.9999998211860656,-0.0017368793487548828,0.0001005725935101006,0.3040191000073078
Qwen3-8B,43,conflict,norm_matched,2,1638400,0.4945722818374634,-0.0157559961080551,-0.0080904960632324,-1.902140974998474,-1.8863849639892576,2303,1.9264737716211784,6.865259037821569,109575,6.516448020935059,0.2339008599519729,0.7650214439630508,1.9234537094559343,819200.0,-0.0038480653893202,-0.0030212290585041,-0.0030212290585041,0.0056686969473958,0.005668697413057,2.988906145095825,2.346677780151367,0.7851293087005615,0.6422283053398132,0.0,0.4560312926769256,0.0567383244633674,0.060586392879486,0.0,2.346677780151367,0.7851293087005615,0.4560312926769256,0.0,0.0,0.1130504851098521,0.9999999403953552,0.002605289220809992,-0.0007663825526834003,0.3248477549534423
Qwen3-8B,43,conflict,norm_matched,3,2457600,0.4945722818374634,-0.0151271242648363,-0.014052391052246,-1.8918406963348389,-1.876713752746582,2303,1.9165880498205068,6.797725356467704,109575,7.709935665130615,0.2767398059368133,0.7631511501222848,1.906783488466899,819200.0,-0.0022070601116865,-0.001660079578869,-0.0016600796952843,0.0030938233248889,0.0030938233248889,2.3662068843841557,1.7797846794128418,0.752167820930481,0.5864222049713135,0.0,0.4753736555576324,0.0589999854564666,0.0612070448696613,0.0,1.7797846794128418,0.752167820930481,0.4753736555576324,0.0,0.0,0.114418997643952,1.0,0.002605289220809992,-0.0001375107094645986,0.3347334767541139
Qwen3-8B,43,conflict,norm_matched,4,3276800,0.4950065016746521,-0.0160342510789632,-0.0090799331665039,-1.889646291732788,-1.8736120462417605,2303,1.910083953070635,6.753655764871144,109575,8.654731750488281,0.3106522262096405,0.7622737079113722,1.8985776574505144,819200.0,-0.0004677059478126,-0.0003397914115339,-0.0003397914115339,0.000596625439357,0.0005966256139799,2.0921452045440674,1.5199567079544067,0.7265062928199768,0.5721883773803711,0.0,0.4861011505126953,0.0647050887346267,0.065172791481018,0.0,1.5199568271636963,0.7265063524246216,0.4861011505126953,1.1920928955078125e-07,7.842939182241828e-08,0.1156204536855511,1.0,0.0030395090579987127,-0.0010446375235914993,0.34123757350398565
Qwen3-8B,43,conflict,norm_matched,5,4096000,0.491098552942276,-0.0171778704971075,-0.0087509155273437,-1.8879036903381348,-1.8707258701324463,2303,1.9052587155362335,6.721146267679402,109575,9.452781677246094,0.3392973840236664,0.7633680238574744,1.8996792992543488,819200.0,-0.0010949568822979,-0.0007860364858061,-0.0007860364858061,0.0012181508354842,0.0012181513011455,1.9297891855239868,1.385336995124817,0.7178695797920227,0.5444520711898804,0.0,0.4924340844154358,0.0716861486434936,0.0727811008691787,0.0,1.3853371143341064,0.7178696393966675,0.4924340844154358,1.1920928955078125e-07,8.60507441238098e-08,0.1167222691874485,1.0000001192092896,-0.0008684396743773859,-0.0021882569417357983,0.3460628110383872
Qwen3-8B,43,conflict,norm_matched,6,4915200,0.4932696223258972,-0.0186734646558761,-0.0093417167663574,-1.889022707939148,-1.8703492879867556,2303,1.902018586214672,6.699404127277841,109575,10.158618927001951,0.36463263630867,0.7631758076697588,1.888972878143249,819200.0,0.0002775921020656,0.0001970167213585,0.0001970167504623,-0.0002958007389679,-0.0002958008262794,1.791358470916748,1.2713888883590698,0.7097344994544983,0.5199695825576782,0.0,0.4978304207324981,0.0733174383640289,0.0730398446321487,0.0,1.2713888883590698,0.7097344994544983,0.4978304207324981,0.0,0.0,0.117762430847506,1.0,0.00130262970924383,-0.0036838511005044,0.3493029403599488
Qwen3-8B,44,benign,norm_matched,0,0,0.4902301132678985,-0.0141763370484113,-0.0177756547927856,-2.3098390102386475,-2.295662879943848,2303,2.710282500771969,15.033521896585311,577662,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Qwen3-8B,44,benign,norm_matched,1,819200,0.4937038421630859,-0.0143728675320744,-0.0155565738677978,-2.2196969985961914,-2.2053239345550537,2303,2.5691141771296406,13.054255559571018,577662,2.1314263343811035,0.0765047892928123,0.7721591664105654,2.5725836114346747,819200.0,-0.0168349780142307,-0.0128901544958353,-0.0128901544958353,0.0535376630723476,0.0535376667976379,2.78371524810791,2.1314263343811035,0.7656768560409546,0.6522887349128723,0.0,0.4611571431159973,0.0396912060678005,0.0565261878073215,0.0,2.1314265727996826,0.7656769156455994,0.4611571431159973,2.384185791015625e-07,1.1185868757767886e-07,0.109349689213559,1.0000001192092896,0.003473728895187378,-0.00019653048366309947,0.14116832364232845
Qwen3-8B,44,benign,norm_matched,2,1638400,0.4919669926166534,-0.0172358844429254,-0.0107529163360595,-2.1915059089660645,-2.174269914627075,2303,2.529231812758802,12.543866396458505,577662,3.4325051307678223,0.1232053339481353,0.7638560333102942,2.5277320740654248,819200.0,-0.0003594664158299,-0.0002690402034204,-0.0002690402034204,0.001979271415621,0.0019792716484516,2.0163519382476807,1.509124994277954,0.7484432458877563,0.5072270035743713,0.0,0.4779282510280609,0.0226477216929197,0.0230071879923343,0.0,1.509124994277954,0.7484432458877563,0.4779282510280609,0.0,0.0,0.109947018110688,1.0000001192092896,0.0017368793487548828,-0.003059547394514101,0.18105068801316726
Qwen3-8B,44,benign,norm_matched,3,2457600,0.4928354322910309,-0.0196136236190795,-0.0127474069595336,-2.1778953075408936,-2.1582815647125244,2303,2.512531620594093,12.336120939938034,577662,4.35072660446167,0.1561637073755264,0.7646498859673738,2.501989648134331,819200.0,0.0009819859405979,0.0007187140290625,0.0007187139708548,-0.0060336445458233,-0.006033644080162,1.6388951539993286,1.199504852294922,0.7318984866142273,0.4393902719020843,0.0,0.4880636036396026,0.0187113676220178,0.0177293829619884,0.0,1.199504852294922,0.7318984866142273,0.4880636036396026,0.0,0.0,0.1105117944352969,1.0000001192092896,0.0026053190231323797,-0.0054372865706682,0.197750880177876
Qwen3-8B,44,benign,norm_matched,4,3276800,0.4950065016746521,-0.0217043161392211,-0.0100376605987548,-2.169039487838745,-2.1473350524902344,2303,2.503879801453424,12.229851427858057,577662,4.97306489944458,0.1785017400979995,0.7657748752087354,2.499097734483948,819200.0,0.0008827507845126,0.0006282547255977,0.0006282547255977,-0.0059741525910794,-0.0059741525910794,1.3223679065704346,0.941130757331848,0.7117011547088623,0.3812371492385864,0.0,0.4935247600078583,0.0175591744482517,0.0166764259338378,0.0,0.941130757331848,0.7117011547088623,0.4935247600078583,0.0,0.0,0.1109631846411502,1.0,0.0047763884067535956,-0.007527979090809801,0.20640269931854505
