model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance,alignment_accuracy_change,alignment_margin_mean_change,shift_nll_improvement,phase_alignment_accuracy_change,phase_alignment_margin_change,negative_coordinate_risk_abs_sum,counterfactual_cm_update_norm,counterfactual_cm_retained_norm_ratio,counterfactual_cm_killed_fraction,norm_match_abs_error_after_bf16,norm_match_relative_error_after_bf16,norm_match_rounding_bound,norm_match_direction_cosine_raw_vs_post
Qwen3-8B,46,benign,unconstrained,6,4915200,0.4906643331050873,-0.0262680370360612,-0.0229256153106689,-2.1502010822296143,-2.1239330768585205,2303,2.4881878525661416,12.03943910179849,577662,6.575069427490234,0.235947847366333,0.7696773237735033,2.4881729163447743,819200.0,-0.0004892840515822,-0.0004892840515822,-0.0004892840515822,0.0033844222780317,0.0033844222780317,0.943871796131134,0.943871796131134,1.0,0.0,0.0,0.4986178576946258,0.0177387855947017,0.0,0.0012324140407145,0.0012333677150309,0.0013026297092437,-0.0113357584923505,0.2166646255049449,-0.0008684396743774,-0.0010499097406863,,,,,,,,
Qwen3-8B,46,conflict,coordinate_mortality,6,4915200,0.5119409561157227,0.0195959359407424,0.0170447826385498,-1.918785810470581,-1.938381910324097,2303,1.96142200021746,7.109429490910582,109575,9.393559455871582,0.3370900154113769,0.673966625854373,1.935735381179984,819200.0,-0.0948927998542785,-0.2082302123308181,-0.2082302123308181,0.0525292418897151,0.1619774550199508,2.2513012886047363,1.6021037101745603,0.7116345167160034,1.5816513299942017,0.4725572764873504,0.4725572764873504,0.1133374124765396,0.0,0.0052218097262084,0.0052230357227927,0.0225792527198791,0.0345282144844531,0.3028842621928826,-0.0699087977409362,-0.2307414561510087,,,,,,,,
Qwen3-8B,46,conflict,global_projection,6,4915200,0.4954407215118408,-0.018496910110116,-0.007645308971405,-1.8888965845108032,-1.8703995943069456,2303,1.8989715190437488,6.679021662037496,109575,11.368127822875977,0.407947838306427,0.7637361426651478,1.8879280064771595,819200.0,0.000130291969981,-5.820766091346741e-11,0.0,-0.0001278611744055,0.0,1.6939162015914917,1.6939162015914917,1.0,0.0002165871555916,0.0,0.5010635852813721,0.0777909383177757,1.0,0.0047531556338071,0.004754127438673,0.0060790181159973,-0.0035646315664053,0.3653347433665939,0.0034737288951874,0.0005842018872498,,,,,,,,
Qwen3-8B,46,conflict,unconstrained,6,4915200,0.4967433512210846,-0.0183282997459173,-0.0045607089996337,-1.889331579208374,-1.8710033893585205,2303,1.898800195045132,6.67787748335494,109575,11.382304191589355,0.4084565639495849,0.7637797369807958,1.887955191470828,819200.0,-8.325744420289993e-05,-8.325744420289993e-05,-8.325744420289993e-05,8.089615585049614e-05,8.089615585049614e-05,1.7027748823165894,1.7027748823165894,1.0,0.0,0.0,0.5021414160728455,0.0779828876256942,0.0,0.0047770785167813,0.004778060028002,0.007381647825241,-0.0033960212022065,0.3655060673652106,0.006513237953186,0.0005120355635881,,,,,,,,
Qwen3-8B,47,benign,coordinate_mortality,6,4915200,0.5540599226951599,0.1027660965919494,0.0854496955871582,-2.5827693939208984,-2.6855356693267822,2303,2.51128338612967,12.320732175014976,577662,6.136946201324463,0.2202857583761215,0.6842494202405214,2.510803781275172,819200.0,0.0156860128045082,-0.014757078140974,-0.014757078140974,-0.093605026602745,0.1253932118415832,1.2340221405029297,0.8666343688964844,0.7022842764854431,0.8784961104393005,0.5143380761146545,0.5143380761146545,0.0304430909454822,0.0,0.0012770220637321,0.0012779757380485,0.0638298094272614,0.115480152890086,0.1992089786609643,0.013026475906372,0.0267737582325934,,,,,,,,
Qwen3-8B,47,benign,global_projection,6,4915200,0.4954407215118408,-0.0202561672776937,-0.0143487453460693,-2.142085313796997,-2.121829032897949,2303,2.488327922513512,12.041125583509784,577662,6.611942768096924,0.2373357713222503,0.7643581323325634,2.496468770491483,819200.0,-0.0002009180461755,-0.0002009180461755,-0.0002009180461755,0.0014928758610039,0.0014928758610039,0.981746792793274,0.981746792793274,1.0,0.0,0.0,0.496118813753128,0.0166028477251529,0.0,0.0011628575157374,0.0011638111900538,0.0052106082439423,-0.0075421109795569,0.2221644422771227,0.0,0.0003917925059794,,,,,,,,
Qwen3-8B,47,benign,unconstrained,6,4915200,0.4932696223258972,-0.0228978004306554,-0.015688419342041,-2.149416208267212,-2.1265182495117188,2303,2.4883160193996448,12.040982257473898,577662,6.614628314971924,0.2374321669340133,0.7681532534211875,2.496551776409615,819200.0,-0.0012367306044325,-0.0012367306044325,-0.0012367306044325,0.0085329869762063,0.0085329869762063,0.9818136096000672,0.9818136096000672,1.0,0.0,0.0,0.4951540529727936,0.017410259693861,0.0,0.0012552648549899,0.0012562185293063,0.0030395090579987,-0.0101837441325186,0.2221763453909897,-0.0008684396743773,0.0008357148617505,,,,,,,,
Qwen3-8B,47,conflict,coordinate_mortality,6,4915200,0.5080329775810242,0.0153167359530925,0.0112645626068115,-1.9136748313903809,-1.9289917945861816,2303,1.9583345955342373,7.087513653942754,109575,9.361936569213867,0.336046814918518,0.7198043048754335,1.938840049659775,819200.0,-0.3869065046310425,-0.6774446964263916,-0.6774446964263916,0.0768243074417114,0.1839746832847595,2.206259250640869,1.613113522529602,0.7311531901359558,1.5051389932632446,0.4571321606636047,0.4571321606636047,0.2905382513999939,0.0,0.0150411101058125,0.0150446217933222,0.0178028643131256,0.0280307922512292,0.3082458844229481,-0.0746852159500122,-0.3352512307465077,,,,,,,,
Qwen3-8B,47,conflict,global_projection,6,4915200,0.4915327727794647,-0.0173158627003431,-0.0134162902832031,-1.8868887424469,-1.8695731163024905,2303,1.89881356902735,6.677966793766874,109575,11.448211669921877,0.4109337031841278,0.7627498698979616,1.8836369172770355,819200.0,0.001848058309406,1.4551915228366852e-11,1.4551915228366852e-11,-0.0018163088243454,-1.4301935503946428e-11,1.6822713613510132,1.6822686195373535,0.9999983906745912,0.0030555243138223,0.0,0.5044340491294861,0.0782546997070312,1.0,0.0048150382936,0.004816008636908,0.0013026595115662,-0.0046018064022064,0.3677669109298354,-0.0013026595115661,-0.0007505137473345,,,,,,,,
Qwen3-8B,47,conflict,unconstrained,6,4915200,0.4928354322910309,-0.0185930412262678,-0.0166722536087036,-1.891455054283142,-1.8728619813919067,2303,1.8985787021811904,6.676398544939299,109575,11.449113845825195,0.4109660685062408,0.7636824563145638,1.883601140217652,819200.0,0.0011954514775425,0.0011954514775425,0.0011954514775425,-0.0011520804837346,-0.0011520804837346,1.6821047067642212,1.6821047067642212,1.0,0.0,0.0,0.5045475959777832,0.0793120861053466,0.0,0.0049117119051516,0.0049127014813166,0.0026053190231323,-0.0058789849281311,0.3680017777759949,0.0013026595115661,-0.0009402614086867,,,,,,,,
Qwen3-8B,48,benign,coordinate_mortality,6,4915200,0.5536257028579712,0.1030652597546577,0.09090256690979,-2.538088321685791,-2.641153335571289,2303,2.511819905336079,12.327344258060052,577662,6.097858428955078,0.218848705291748,0.6833448706567288,2.5080897356843344,819200.0,0.015557624399662,-0.0152301592752337,-0.0152301592752337,-0.0944857075810432,0.1327506601810455,1.2186059951782229,0.8490903973579407,0.6967718601226807,0.8740972876548767,0.5164635181427002,0.5164635181427002,0.0307877827435731,0.0,0.0012694173492491,0.0012703710235655,0.0581849813461303,0.1145816994830965,0.1976207083602736,0.0160660147666931,0.0258548110723495,,,,,,,,
Qwen3-8B,48,benign,global_projection,6,4915200,0.4928354322910309,-0.0218236520886421,-0.0205558538436889,-2.136673212051392,-2.114849805831909,2303,2.487843730687236,12.035296780166435,577662,6.595706939697266,0.2367162108421325,0.7647826546430587,2.4930693484889344,819200.0,0.0005062199779786,-6.912159733474255e-11,-7.639755494892597e-11,-0.0036047250032424,5.440203842965731e-10,1.0074414014816284,1.0074348449707031,0.9999935030937196,0.0036315496545284,0.0,0.5003120303153992,0.0175955779850482,1.0,0.001190420705825,0.0011913743801414,-0.0026052892208099,-0.0103072123602032,0.2215968830091168,-0.0030395090579986,-0.0014205090701579,,,,,,,,
Qwen3-8B,48,benign,unconstrained,6,4915200,0.4897958934307098,-0.0251086056232452,-0.0208723545074462,-2.1460347175598145,-2.1209256649017334,2303,2.487975150125636,12.036878556046036,577662,6.589996337890625,0.2365112602710724,0.7688063941895962,2.493114836255263,819200.0,-8.496230293530971e-05,-8.496230293530971e-05,-8.496230293530971e-05,0.0005619777948595,0.0005619777948595,1.011169195175171,1.011169195175171,1.0,0.0,0.0,0.4997890889644623,0.0184198003262281,0.0,0.001236239913851,0.0012371935881674,-0.005644828081131,-0.0135921658948064,0.2214654635707167,-0.0021710991859436,-0.0009791702032089,,,,,,,,
