model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance,alignment_accuracy_change,alignment_margin_mean_change,shift_nll_improvement,phase_alignment_accuracy_change,phase_alignment_margin_change
Qwen3-14B,42,conflict,coordinate_mortality,4,3276800,0.5475466847419739,0.088247001171112,0.0729782581329345,-2.048185110092163,-2.13643217086792,2303,2.2522091821717964,9.508719142657954,109575,9.31320571899414,0.3167503178119659,0.7038053265586496,1.897693081897014,819200.0,0.0287418961524963,-0.0220756419003009,-0.0220756419003009,-0.0694041475653648,0.0814961493015289,2.627159357070923,1.718433141708374,0.6541031002998352,1.9871973991394043,0.5408968329429626,0.5408968329429626,0.050817534327507,0.0,0.0011880545644089,0.0011890082387253,0.05036911368370056,0.106189902871847,0.0183706445713554,0.02171081304550171,0.028756529092788703
Qwen3-14B,42,conflict,coordinate_mortality,5,4096000,0.570560097694397,0.2264011949300766,0.1970143318176269,-3.8698630332946777,-4.096264362335205,2303,4.384676422042551,80.21226409265054,109575,10.229677200317385,0.347920298576355,0.6834881678968668,1.8881508516645409,819200.0,0.0668323785066604,-0.0373613908886909,-0.0373613908886909,-0.0722399577498436,0.0605351030826568,2.540426015853882,1.6947782039642334,0.6671236157417297,1.892482876777649,0.5504021048545837,0.5504021048545837,0.1041937693953514,0.0,0.0024857176467776,0.002486671321094,0.07338252663612366,0.2443440966308116,-2.114096595299399,0.023013412952423096,0.1381541937589646
Qwen3-14B,42,conflict,coordinate_mortality,6,4915200,0.5184541940689087,0.0240569841116666,0.0268480777740478,-1.8775634765625,-1.9016205072402956,2303,1.9345783199003077,6.9211249393005625,109575,10.865625381469728,0.3695494532585144,0.6860616430453956,1.9046968883297812,819200.0,-0.094480387866497,-0.2202316969633102,-0.2202316969633102,0.0429381802678108,0.1350110471248626,2.411834239959717,1.7879688739776611,0.7413315773010254,1.6186758279800415,0.4608841836452484,0.4608841836452484,0.1257513165473938,0.0,0.0059362994506955,0.0059378550961355,0.021276623010635376,0.0419998858124016,0.33600150684284413,-0.05210590362548828,-0.20234421081841
Qwen3-14B,42,conflict,global_projection,0,0,0.4971775710582733,-0.017942901700735,-0.0053540468215942,-2.3270668983459477,-2.309124231338501,2303,2.270579826743152,9.68501481693974,109575,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,
Qwen3-14B,42,conflict,global_projection,1,819200,0.4980460107326507,-0.0132563514634966,-0.0027844905853271,-1.8900049924850464,-1.8767486810684204,2303,1.912600762874004,6.770674839812372,109575,6.151901245117188,0.2092315703630447,0.7762849741429091,1.945047697026166,819200.0,-0.0453643091022968,-0.0453643091022968,-0.0453643091022968,0.063013345003128,0.063013345003128,6.151901245117188,6.151901245117188,1.0,0.0,0.0,0.3654273450374603,0.0565544813871383,0.0,0.0014745311345905,0.0014754848089069,0.0008684396743773859,0.0046865502372383985,0.3579790638691478,0.0008684396743773859,0.0046865502372383985
Qwen3-14B,42,conflict,global_projection,2,1638400,0.5010855197906494,-0.0101290186867117,0.001929759979248,-1.8712340593338013,-1.8611048460006716,2303,1.8949636536549683,6.652306613207361,109575,8.06792163848877,0.2743971049785614,0.7597010725736618,1.900842549582012,819200.0,-0.0036882702261209,-0.0036882702261209,-0.0036882702261209,0.0050980043597519,0.0050980043597519,2.916656017303467,2.916656017303467,1.0,0.0,0.0,0.4661006033420563,0.0619930513203144,0.0,0.0018977411091327,0.0018986947834491,0.003907948732376099,0.007813883014023299,0.3756161730881835,0.0030395090579987127,0.0031273327767849003
Qwen3-14B,42,conflict,global_projection,3,2457600,0.4993486702442169,-0.0143950739875435,-0.0023235082626342,-1.8704216480255127,-1.856026291847229,2303,1.8854075668164372,6.58903936863326,109575,9.508988380432127,0.3234090507030487,0.7585915169492364,1.8838454423523217,819200.0,-0.001042288262397,-0.001042288262397,-0.001042288262397,0.0011870509479194,0.0011870509479194,2.4313437938690186,2.4313437938690186,1.0,0.0,0.0,0.4877781569957733,0.070063441991806,0.0,0.002779871225357,0.0027808248996734,0.0021710991859436035,0.003547827713191499,0.38517225992671467,-0.0017368495464324951,-0.0042660553008318
Qwen3-14B,42,conflict,global_projection,4,3276800,0.4971775710582733,-0.0170529745519161,-0.0053589344024658,-1.8690248727798464,-1.8519716262817385,2303,1.880285322157564,6.555374989119671,109575,10.655529975891112,0.362403929233551,0.7597730318084359,1.8776668339507887,819200.0,0.0011712728301063,1.4551915228366852e-11,3.637978807091713e-11,-0.0010878456523641,-3.378855181757068e-11,2.1158103942871094,2.115809202194214,0.999999463558197,0.0023016750346869,0.0,0.4946641027927398,0.083385057747364,1.0,0.0040011615492403,0.0040021883605732,0.0,0.0008899271488188969,0.3902945045855879,-0.0021710991859436035,-0.002657900564372602
Qwen3-14B,42,conflict,global_projection,5,4096000,0.4984802305698395,-0.0198406968265771,-0.0031526088714599,-1.8716182708740237,-1.8517776727676392,2303,1.8769352113278577,6.53345050161267,109575,11.728395462036133,0.3988930284976959,0.7602239493280649,1.8662549886200577,819200.0,0.0002165126934414,-8.731149137020111e-11,-5.820766091346741e-11,-0.0001886906975414,5.0727953088136595e-11,2.0064597129821777,2.006459474563598,0.9999998807907104,0.0003786010784097,0.0,0.4972885549068451,0.0857643708586692,1.0,0.0046932222321629,0.0046943165233415,0.0013026595115661621,-0.0018977951258421014,0.39364461541529416,0.0013026595115661621,-0.0027877222746609982
Qwen3-14B,42,conflict,global_projection,6,4915200,0.4954407215118408,-0.0202023349702358,-0.0050822496414184,-1.870756983757019,-1.8505544662475584,2303,1.8746670325433936,6.518648261205405,109575,12.687417984008787,0.4315102398395538,0.7609272641688585,1.8605414264425053,819200.0,-0.0001903531374409,-0.0001903531374409,-0.0001903531374409,0.0001732209348119,0.0001732209348119,1.9026548862457275,1.9026548862457275,1.0,0.0,0.0,0.5000852346420288,0.0817310884594917,0.0,0.0049414476379752,0.0049424956342818,-0.0017368495464324951,-0.002259433269500802,0.3959127941997582,-0.0030395090579986572,-0.00036163814365870045
