model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance,alignment_accuracy_change,alignment_margin_mean_change,shift_nll_improvement,phase_alignment_accuracy_change,phase_alignment_margin_change,judge_generated_mean,judge_generated_std,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen,generated_length_chars_mean,generated_empty_fraction,judge_input_at_max_length_fraction,judge_examples
Qwen3-14B,43,conflict,global_projection,6,4915200,0.4967433512210846,-0.0193755123764276,-0.005706787109375,-1.870698928833008,-1.851323246955872,2303,1.8753334832545043,6.522994066946376,109575,12.755362510681152,0.4339801371097564,0.7610063544288278,1.8602198106766443,819200.0,-2.3368600523099303e-05,-2.3368600523099303e-05,-2.3368600523099303e-05,2.1398756871349175e-05,2.1398756871349175e-05,1.9158761501312256,1.9158761501312256,1.0,0.0,0.0,0.4977699220180511,0.0834930017590522,0.0,0.0049629183486104,0.004963959812585,0.002605289220809992,0.00036490708589550017,0.39300837856869775,0.002171069383621216,-0.0007555577903985977,0.0336593905441814,0.0156432336443366,0.5879265091863517,0.002288695608852,-0.001979672497571,111.73753280839895,0.0,0.0,381
Qwen3-14B,43,conflict,unconstrained,6,4915200,0.4928354322910309,-0.0195067916065454,-0.0112693309783935,-1.8707523345947263,-1.8512452840805051,2303,1.8749534447835563,6.520515549251041,109575,12.76148509979248,0.4341884553432464,0.7612490687519312,1.86016990040167,819200.0,0.0001097534550353,0.0001097534550353,0.0001097534550353,-0.0001005101585178,-0.0001005101585178,1.9060618877410889,1.9060618877410889,1.0,0.0,0.0,0.5000683665275574,0.0841123089194297,0.0,0.0050129937008023,0.0050140350786023,-0.001302629709243719,0.00023362785577769885,0.3933884170396458,-0.001302629709243719,-0.0005424767732619996,0.0329460239996082,0.0155176882021584,0.5590551181102362,0.0015753290642788,-0.0026930390421442,112.88976377952756,0.0,0.0,381
Qwen3-14B,44,benign,coordinate_mortality,6,4915200,0.5857576727867126,0.1976540237665176,0.16520357131958,-3.619257926940918,-3.8169124126434326,2303,2.418692205234473,11.231161651794237,577662,6.803216934204102,0.231421872973442,0.6760523337870836,2.412983569377102,819200.0,0.0199226923286914,-0.0271799825131893,-0.0271799825131893,-0.0652344971895217,0.1267098039388656,1.4869465827941897,1.044392228126526,0.702373743057251,1.0584211349487305,0.5075492858886719,0.5075492858886719,0.0471026748418808,0.0,0.0020099731627851,0.0020109268371015,0.09335646033287054,0.21991952694952482,0.18193118202123415,0.027789831161499023,0.08883850276470182,0.0259476602627477,0.0140731093804274,0.2624671916010498,-0.0054230346725816,-0.0096914027790047,5.461942257217848,0.0734908136482939,0.0,381
Qwen3-14B,44,benign,global_projection,6,4915200,0.4906643331050873,-0.0205546095967292,-0.014777660369873,-2.1526010036468506,-2.132046699523926,2303,2.392395003259773,10.939663121736256,577662,7.791650772094727,0.2650449872016907,0.7670444836094975,2.395096514734032,819200.0,0.0004689178895205,-7.275957614183426e-11,-5.0931703299283975e-11,-0.002421660348773,2.6303040301378644e-10,1.1527947187423706,1.1527912616729736,0.9999970197677612,0.0027916776016354,0.0,0.5029241442680359,0.0238127335906028,1.0,0.0015551778487861,0.0015561315231025,-0.0017368793487548273,0.001710893586278,0.20822838399593424,-0.0017368793487548273,-0.0010960120707749973,0.035914994641806,0.0185503088590381,0.5695538057742782,0.0045442997064765,0.0002759316000534,107.8477690288714,0.0,0.0,381
Qwen3-14B,44,benign,unconstrained,6,4915200,0.4880590438842773,-0.0211187209933996,-0.0161938667297363,-2.1534533500671387,-2.1323344707489014,2303,2.392425079711811,10.939992152937473,577662,7.791691780090332,0.2650463581085205,0.7670444836094975,2.395096514734032,819200.0,0.0004689178895205,0.0004689178895205,0.0004689178895205,-0.002421660348773,-0.002421660348773,1.1527947187423706,1.1527947187423706,1.0,0.0,0.0,0.5029241442680359,0.0238127335906028,0.0,0.0015550801763311,0.0015560338506475,-0.004342168569564819,0.0011467821896075994,0.208198307543896,-0.004342168569564819,-0.0016601234674453978,0.0352802121146457,0.0184981875507009,0.5538057742782152,0.0039095171793162,-0.0003588509271068,122.71128608923884,0.0,0.0,381
Qwen3-14B,44,conflict,coordinate_mortality,6,4915200,0.5201910138130188,0.0277169961482286,0.0325254201889038,-1.8734153509140012,-1.9011322259902956,2303,1.9364739341309372,6.93425716511214,109575,10.894405364990234,0.370589941740036,0.6830166756547987,1.9032266145631729,819200.0,-0.0698958933353424,-0.1778301149606704,-0.1778301149606704,0.0399847440421581,0.1390848159790039,2.4232630729675293,1.7724288702011108,0.7314223647117615,1.6524827480316162,0.4715736806392669,0.4715736806392669,0.107934221625328,0.0,0.0048970887437462,0.0048983080861262,0.02778980135917669,0.0499824993312358,0.3302285403844134,-0.05818498134613037,-0.1910572480410338,0.0377522157437933,0.0152488790901789,0.6692913385826772,0.0063815208084638,0.0021131527020407,91.43832020997375,0.0,0.0,381
Qwen3-14B,44,conflict,global_projection,6,4915200,0.4967433512210846,-0.0214085895568132,-0.004417061805725,-1.873493313789368,-1.852084398269653,2303,1.8745855331333865,6.518117016866415,109575,12.811896324157717,0.4358163475990295,0.76174330689013,1.8608027310442408,819200.0,-0.0001978149521164,-0.0001978149521164,-0.0001978149521164,0.0001726288755889,0.0001726288755889,1.9419950246810915,1.9419950246810915,1.0,0.0,0.0,0.502813994884491,0.087521344423294,0.0,0.0051217111758887,0.0051228039886837,0.004342138767242487,0.0008569136261940002,0.39211694138196407,0.0030395090579987127,-0.0024567898362874985,0.0338637391569733,0.0158065415507852,0.5590551181102362,0.0024930442216438,-0.0017753238847792,115.51443569553804,0.0,0.0,381
Qwen3-14B,44,conflict,unconstrained,6,4915200,0.4958749413490295,-0.0216297283768653,-0.0046504735946655,-1.873674988746643,-1.8520454168319704,2303,1.8744973457574896,6.517542226575906,109575,12.813010215759276,0.4358542263507843,0.7619184001162648,1.8608586722624023,819200.0,-0.0003412882215343,-0.0003412882215343,-0.0003412882215343,0.0002956535317935,0.0002956535317935,1.9424378871917725,1.9424378871917725,1.0,0.0,0.0,0.5032472610473633,0.0879727527499198,0.0,0.0051578795537352,0.0051589804295417,0.003473728895187378,0.0006357748061418984,0.39220512875786095,-0.0004342198371887207,-0.002507563680410302,0.0338804654542844,0.0157009518475327,0.5590551181102362,0.0025097705189549,-0.0017585975874681,111.99212598425196,0.0,0.0,381
Qwen3-8B,42,benign,coordinate_mortality,6,4915200,0.5488492846488953,0.0945229828357696,0.0782890319824218,-2.486201524734497,-2.580724239349365,2303,2.5115581010716475,12.32411732919448,577662,6.127286911010742,0.219881534576416,0.6828559996932745,2.4855054914054926,819200.0,0.0152343967929482,-0.0152033194899559,-0.0152033194899559,-0.0914778411388397,0.1290113627910614,1.2199349403381348,0.8632523417472839,0.7076216340065002,0.8619958162307739,0.512194812297821,0.512194812297821,0.0304377172142267,0.0,0.0012632099678739,0.0012641636421903,0.05905339121818548,0.1082665743306278,0.19642374975818466,0.008250057697296143,0.0167740136384964,0.0358281974360503,0.0152820291583398,0.5695538057742782,0.0044575025007208,0.0001891343942977,21.587926509186357,0.0,0.0,381
Qwen3-8B,42,benign,global_projection,6,4915200,0.4906643331050873,-0.0210605058819055,-0.0186110734939575,-2.1367204189300537,-2.1156599521636963,2303,2.487981009547971,12.036949085407722,577662,6.601690769195557,0.236905813217163,0.7643505921959877,2.4706359201166195,819200.0,0.0007269873749464,2.9103830456733704e-11,3.637978807091713e-11,-0.0054893959313631,-2.7470362096160267e-10,0.9777180552482604,0.9777032732963562,0.999984860420227,0.0053670816123485,0.0,0.4999262690544128,0.0166693106293678,1.0,0.0011307446984574,0.0011316983727738,0.0008684396743774969,-0.0073169143870472995,0.22000084128186126,-0.0008684396743774414,-0.0014631021767855003,0.0355707987658056,0.0168323920647614,0.5669291338582677,0.0042001038304761,-6.82642759469257e-05,120.75853018372705,0.0,0.0,381
Qwen3-8B,42,benign,unconstrained,6,4915200,0.4902301132678985,-0.0240915101021528,-0.0149877071380615,-2.143256187438965,-2.11916446685791,2303,2.487993218650136,12.037096046645994,577662,6.605071067810059,0.237027108669281,0.7670850555598736,2.4706540194700937,819200.0,0.0004059782950207,0.0004059782950207,0.0004059782950207,-0.0029062670655548,-0.0029062670655548,0.9761887192726136,0.9761887192726136,1.0,0.0,0.0,0.4993346929550171,0.017336681485176,0.0,0.0011729365214705,0.0011738901957869,0.0004342198371887207,-0.0103479186072946,0.219988632179696,-0.0017368793487548828,-0.0020081009715796003,0.0348146382065091,0.0168075343630897,0.5406824146981627,0.0034439432711796,-0.0008244248352433,134.249343832021,0.0,0.0,381
Qwen3-8B,42,conflict,coordinate_mortality,6,4915200,0.5358228087425232,0.0706182047724723,0.0570049285888671,-2.166577100753784,-2.2371952533721924,2303,2.2839642343732174,9.815514384697114,109575,9.565267562866213,0.3432556092739105,0.7081577310711146,1.9048016592438215,819200.0,0.0300376862287521,-0.0553256422281265,-0.0553256422281265,-0.039618857204914,0.1079279854893684,2.0856587886810303,1.4101688861846924,0.6761263608932495,1.536683440208435,0.5348404049873352,0.5348404049873352,0.0853633284568786,0.0,0.0024549318477511,0.0024558855220675,0.04602691531181341,0.0843617962673305,-0.02013071076281925,0.014329135417938232,0.0401688385754823,0.0349010925854891,0.0148151042443111,0.5590551181102362,0.0035303976501596,-0.0007379704562634,23.133858267716537,0.0,0.0,381
Qwen3-8B,42,conflict,global_projection,6,4915200,0.4924012124538421,-0.0178980119526386,-0.0095493793487548,-1.8882904052734373,-1.8703923225402832,2303,1.8989127637587695,6.678629245744741,109575,11.392393112182615,0.408823162317276,0.7634614408016205,1.882816568792623,819200.0,-2.771831350401044e-05,-2.771831350401044e-05,-2.771831350401044e-05,2.7975949706160463e-05,2.7975949706160463e-05,1.6871789693832395,1.6871789693832395,1.0,0.0,0.0,0.4985151588916778,0.0751795098185539,0.0,0.0046449648216366,0.004645918495953,0.0026053190231323242,-0.004154420457780398,0.36492075985162864,-0.0017368495464324951,0.00013138540089130055,0.0329898181741108,0.0148613300598743,0.5485564304461942,0.0016191232387814,-0.0026492448676416,117.5485564304462,0.0,0.0,381
Qwen3-8B,42,conflict,unconstrained,6,4915200,0.4924012124538421,-0.0178980119526386,-0.0095493793487548,-1.8882904052734373,-1.8703923225402832,2303,1.8989127637587695,6.678629245744741,109575,11.392393112182615,0.408823162317276,0.7634614408016205,1.882816568792623,819200.0,-2.771831350401044e-05,-2.771831350401044e-05,-2.771831350401044e-05,2.7975949706160463e-05,2.7975949706160463e-05,1.6871789693832395,1.6871789693832395,1.0,0.0,0.0,0.4985151588916778,0.0751795098185539,0.0,0.0046449648216366,0.004645918495953,0.0026053190231323242,-0.004154420457780398,0.36492075985162864,-0.0017368495464324951,0.00013138540089130055,0.0329898181741108,0.0148613300598743,0.5485564304461942,0.0016191232387814,-0.0026492448676416,117.5485564304462,0.0,0.0,381
