model,seed,regime,condition,phase,checkpoint_kind,judge_generated_mean,judge_generated_std,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen,generated_length_chars_mean,generated_empty_fraction,judge_input_at_max_length_fraction,judge_examples
Qwen3-8B,45,benign,unconstrained,6,final,0.035117736299524666,0.017253917977291283,0.5511811023622047,0.0037470413641952187,-0.0005213267422278761,123.30708661417323,0.0,0.0,381
Qwen3-8B,45,conflict,coordinate_mortality,6,final,0.027240954129895554,0.013391148424436878,0.32545931758530183,-0.004129740805433895,-0.008398108911856989,6.860892388451443,0.0,0.0,381
Qwen3-8B,45,conflict,global_projection,6,final,0.03303107374905073,0.01513059195014443,0.5459317585301837,0.001660378813721286,-0.0026079892927018088,111.71391076115485,0.0,0.0,381
Qwen3-8B,45,conflict,unconstrained,6,final,0.033078871177890753,0.01506601958881127,0.5406824146981627,0.0017081762425613094,-0.0025601918638617858,114.74540682414698,0.0,0.0,381
Qwen3-8B,45,none,aligned,0,aligned,0.04183283625806137,0.020123989985431096,0.6824146981627297,0.01046214132273192,0.0061937732163088255,150.23359580052494,0.0,0.0,381
Qwen3-8B,46,benign,coordinate_mortality,6,final,0.03646821208699091,0.015121999181618885,0.6010498687664042,0.00509751715166146,0.0008291490452383642,24.031496062992126,0.0,0.0,381
Qwen3-8B,46,benign,global_projection,6,final,0.03540573254462302,0.01861486211606153,0.5328083989501312,0.004035037609293576,-0.00023333049712951961,136.90551181102362,0.0,0.0,381
Qwen3-8B,46,benign,unconstrained,6,final,0.03409443795283782,0.018927385288022455,0.5091863517060368,0.0027237430175083743,-0.0015446250889147204,154.80839895013122,0.0,0.0,381
Qwen3-8B,46,conflict,coordinate_mortality,6,final,0.03546693113912386,0.015833757644060448,0.5853018372703412,0.0040962362037944115,-0.00017213190262868337,153.49343832020998,0.0,0.0,381
Qwen3-8B,46,conflict,global_projection,6,final,0.03321537986156968,0.015359831890444743,0.5485564304461942,0.0018446849262402356,-0.0024236831801828593,108.57217847769029,0.0,0.0,381
Qwen3-8B,46,conflict,unconstrained,6,final,0.03358396888909778,0.015320501219049695,0.5616797900262467,0.002213273953768337,-0.002055094152654758,109.37795275590551,0.0,0.0,381
Qwen3-8B,46,none,aligned,0,aligned,0.0404755160178295,0.020468327271251578,0.6299212598425197,0.00910482108250005,0.004836452976076954,168.76377952755905,0.0,0.0,381
Qwen3-8B,47,benign,coordinate_mortality,6,final,0.0340806434793872,0.015466520182425447,0.5354330708661418,0.0027099485440577535,-0.0015584195623653415,21.233595800524935,0.0,0.0,381
Qwen3-8B,47,benign,global_projection,6,final,0.03653766988077521,0.018120048745008624,0.5748031496062992,0.005166974945445765,0.0008986068390226701,114.92650918635171,0.0,0.0,381
Qwen3-8B,47,benign,unconstrained,6,final,0.035900920262380585,0.018314623046127767,0.5433070866141733,0.004530225327051137,0.00026185722062804215,124.63517060367454,0.0,0.0,381
Qwen3-8B,47,conflict,coordinate_mortality,6,final,0.03466423020974349,0.014772936614060268,0.5616797900262467,0.003293535274414045,-0.00097483283200905,130.96587926509187,0.0,0.0,381
Qwen3-8B,47,conflict,global_projection,6,final,0.03343132643024205,0.015737956155742826,0.5748031496062992,0.0020606314949126025,-0.0022077366115104925,109.07086614173228,0.0,0.0,381
Qwen3-8B,47,conflict,unconstrained,6,final,0.03318749188648395,0.015442779459161624,0.5748031496062992,0.0018167969511545035,-0.0024515711552685914,113.55643044619423,0.0,0.0,381
Qwen3-8B,47,none,aligned,0,aligned,0.041963875329175726,0.020473294351224133,0.6824146981627297,0.010593180393846277,0.0063248122874231824,169.54855643044618,0.0,0.0,381
Qwen3-8B,48,benign,coordinate_mortality,6,final,0.03508683696897637,0.014777374837930861,0.5459317585301837,0.003716142033646922,-0.0005522260727761728,21.611548556430446,0.0,0.0,381
Qwen3-8B,48,benign,global_projection,6,final,0.03599938554224849,0.018089193082596877,0.5511811023622047,0.004628690606919044,0.000360322500495949,114.13648293963254,0.0,0.0,381
Qwen3-8B,48,benign,unconstrained,6,final,0.03408147849196329,0.018151518735758626,0.5013123359580053,0.0027107835566338393,-0.0015575845497892559,149.2204724409449,0.0,0.0,381
Qwen3-8B,48,conflict,coordinate_mortality,6,final,0.03131271430029683,0.01291043187956737,0.47244094488188976,-5.798063503261753e-05,-0.004326348741455713,12.181102362204724,0.0,0.0,381
Qwen3-8B,48,conflict,global_projection,6,final,0.0327246684802261,0.01511096729144594,0.5328083989501312,0.0013539735448966537,-0.0029143945615264415,111.92913385826772,0.0,0.0,381
Qwen3-8B,48,conflict,unconstrained,6,final,0.03319379345396548,0.015448944456852007,0.5564304461942258,0.001823098518636036,-0.002445269587787059,107.07349081364829,0.0,0.0,381
Qwen3-8B,48,none,aligned,0,aligned,0.039901418439075936,0.020162013204213756,0.6115485564304461,0.008530723503746491,0.004262355397323396,176.7795275590551,0.0,0.0,381
