model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance
Qwen3-14B,42,conflict,coordinate_mortality,0,0,0.4971775710582733,-0.017942901700735092,-0.005354046821594238,-2.3270668983459473,-2.309124231338501,2303,2.270579826743152,9.68501481693974,109575,0.0,0.0,,,,,,,,,,,,,,,,,,
Qwen3-14B,42,conflict,coordinate_mortality,1,819200,0.5071645379066467,0.01079549826681614,0.014375686645507812,-2.1880805492401123,-2.198876142501831,2303,2.2088084728772746,9.104861238104977,109575,5.4399566650390625,0.18501770496368408,0.7762849741429091,1.945047697026166,819200.0,-0.04536430910229683,-0.10191880166530609,-0.10191880166530609,0.06301334500312805,0.16009819507598877,6.1519012451171875,5.4399566650390625,0.8842724561691284,2.8727619647979736,0.3654273450374603,0.3654273450374603,0.05655448138713837,0.0,0.001416136510670185,0.0014170901849865913
Qwen3-14B,42,conflict,coordinate_mortality,2,1638400,0.5154146552085876,0.022030241787433624,0.027075529098510742,-1.8965647220611572,-1.9185948371887207,2303,1.9492562036951628,7.023461612507802,109575,7.070748329162598,0.240482360124588,0.732702672816813,1.917151923338097,819200.0,-0.03319596126675606,-0.07471940666437149,-0.07471940666437149,0.05662388727068901,0.16635707020759583,3.593780994415283,2.7533295154571533,0.7661372423171997,2.309640407562256,0.43971338868141174,0.43971338868141174,0.041523441672325134,0.0,0.001155702630057931,0.0011566563043743372
Qwen3-14B,42,conflict,coordinate_mortality,3,2457600,0.5258358716964722,0.059490472078323364,0.039055585861206055,-2.0731546878814697,-2.1326448917388916,2303,2.2059708171464143,9.079061399276549,109575,8.486225128173828,0.28862395882606506,0.7319999917224049,1.8971142617301666,819200.0,0.00903695821762085,-0.06246926635503769,-0.06246926635503769,-0.011931443586945534,0.10841482132673264,3.0517914295196533,2.3216850757598877,0.7607613801956177,1.9807093143463135,0.4742904305458069,0.4742904305458069,0.07150623202323914,0.0,0.0018220596248283982,0.0018230132991448045
Qwen3-14B,42,conflict,coordinate_mortality,4,3276800,0.5475466847419739,0.08824700117111206,0.07297825813293457,-2.048185110092163,-2.13643217086792,2303,2.2522091821717964,9.508719142657954,109575,9.31320571899414,0.31675031781196594,0.7038053265586496,1.8976930818970141,819200.0,0.028741896152496338,-0.02207564190030098,-0.02207564190030098,-0.06940414756536484,0.08149614930152893,2.627159357070923,1.718433141708374,0.6541031002998352,1.9871973991394043,0.5408968329429626,0.5408968329429626,0.05081753432750702,0.0,0.001188054564408958,0.0011890082387253642
Qwen3-14B,42,conflict,coordinate_mortality,5,4096000,0.570560097694397,0.2264011949300766,0.19701433181762695,-3.8698630332946777,-4.096264362335205,2303,4.384676422042551,80.21226409265054,109575,10.229677200317383,0.347920298576355,0.6834881678968668,1.8881508516645409,819200.0,0.06683237850666046,-0.03736139088869095,-0.03736139088869095,-0.0722399577498436,0.06053510308265686,2.540426015853882,1.6947782039642334,0.6671236157417297,1.892482876777649,0.5504021048545837,0.5504021048545837,0.10419376939535141,0.0,0.00248571764677763,0.002486671321094036
Qwen3-14B,42,conflict,coordinate_mortality,6,4915200,0.5184541940689087,0.02405698411166668,0.02684807777404785,-1.8775634765625,-1.9016205072402954,2303,1.9345783199003073,6.9211249393005625,109575,10.865625381469727,0.3695494532585144,0.6860616430453956,1.9046968883297815,819200.0,-0.09448038786649704,-0.22023169696331024,-0.22023169696331024,0.04293818026781082,0.13501104712486267,2.411834239959717,1.7879688739776611,0.7413315773010254,1.6186758279800415,0.4608841836452484,0.4608841836452484,0.1257513165473938,0.0,0.005936299450695515,0.005937855096135536
Qwen3-14B,42,conflict,global_projection,0,0,0.4971775710582733,-0.017942901700735092,-0.005354046821594238,-2.3270668983459473,-2.309124231338501,2303,2.270579826743152,9.68501481693974,109575,0.0,0.0,,,,,,,,,,,,,,,,,,
Qwen3-14B,42,conflict,global_projection,1,819200,0.49804601073265076,-0.013256351463496685,-0.0027844905853271484,-1.8900049924850464,-1.8767486810684204,2303,1.9126007628740036,6.770674839812372,109575,6.1519012451171875,0.20923157036304474,0.7762849741429091,1.945047697026166,819200.0,-0.04536430910229683,-0.04536430910229683,-0.04536430910229683,0.06301334500312805,0.06301334500312805,6.1519012451171875,6.1519012451171875,1.0,0.0,0.0,0.3654273450374603,0.05655448138713837,0.0,0.0014745311345905066,0.0014754848089069128
Qwen3-14B,42,conflict,global_projection,2,1638400,0.5010855197906494,-0.010129018686711788,0.0019297599792480469,-1.8712340593338013,-1.8611048460006714,2303,1.8949636536549683,6.652306613207361,109575,8.06792163848877,0.2743971049785614,0.7597010725736618,1.900842549582012,819200.0,-0.003688270226120949,-0.003688270226120949,-0.003688270226120949,0.00509800435975194,0.00509800435975194,2.916656017303467,2.916656017303467,1.0,0.0,0.0,0.4661006033420563,0.06199305132031441,0.0,0.0018977411091327667,0.001898694783449173
